[80/10000] loss=0.301076031901271 loss_test=0.36163595784543884 acc=0.8686
[81/10000] loss=0.30103868934928923 loss_test=0.3616035072763389 acc=0.8686
[82/10000] loss=0.30100166587307525 loss_test=0.36157129219574424 acc=0.8687
[83/10000] loss=0.30096490293304856 loss_test=0.36153933941491406 acc=0.8686
[84/10000] loss=0.3009283795907787 loss_test=0.36150762095260264 acc=0.8685
[85/10000] loss=0.3008921409809597 loss_test=0.36147615525787996 acc=0.8686
[86/10000] loss=0.3008561715226626 loss_test=0.3614448496658374 acc=0.8686
[87/10000] loss=0.3008203610360149 loss_test=0.3614137463203354 acc=0.8686
[88/10000] loss=0.3007848083136271 loss_test=0.36138289347728064 acc=0.8686
[89/10000] loss=0.3007494893333581 loss_test=0.36135225448250036 acc=0.8686
[90/10000] loss=0.30071441607667426 loss_test=0.36132183340336077 acc=0.8686
[91/10000] loss=0.3006795602116704 loss_test=0.36129164143326864 acc=0.8686
[92/10000] loss=0.3006449400516258 loss_test=0.3612616761678832 acc=0.8689
[93/10000] loss=0.3006104800917372 loss_test=0.3612319000729299 acc=0.869
[94/10000] loss=0.3005762538743873 loss_test=0.3612023544696328 acc=0.869
[95/10000] loss=0.30054223607707475 loss_test=0.36117303170394316 acc=0.8691
[96/10000] loss=0.3005084292134403 loss_test=0.3611439369629082 acc=0.8691
[97/10000] loss=0.30047483070034264 loss_test=0.3611150496143727 acc=0.869
[98/10000] loss=0.300441442469943 loss_test=0.3610863501728234 acc=0.8691
[99/10000] loss=0.3004082219750392 loss_test=0.36105782186506746 acc=0.8691
[100/10000] loss=0.3003752014275477 loss_test=0.3610294720051361 acc=0.8691
[101/10000] loss=0.3003423411574337 loss_test=0.36100131068371916 acc=0.869
[102/10000] loss=0.30030972596916194 loss_test=0.36097334234959627 acc=0.869
[103/10000] loss=0.3002772478605193 loss_test=0.36094556329317146 acc=0.869
[104/10000] loss=0.3002449525166299 loss_test=0.3609179521421103 acc=0.8691
[105/10000] loss=0.300212824007227 loss_test=0.3608905023142391 acc=0.8692
[106/10000] loss=0.3001808518353557 loss_test=0.36086321145556594 acc=0.8692
[107/10000] loss=0.3001490235779467 loss_test=0.36083607528046036 acc=0.8693
[108/10000] loss=0.3001174099697495 loss_test=0.36080912538964865 acc=0.8693
[109/10000] loss=0.3000859426310179 loss_test=0.36078235749154053 acc=0.8693
[110/10000] loss=0.30005463818228295 loss_test=0.36075572217371626 acc=0.8693
[111/10000] loss=0.30002350946937517 loss_test=0.36072921076619924 acc=0.8693
[112/10000] loss=0.2999925329097996 loss_test=0.36070285771900396 acc=0.8693
[113/10000] loss=0.2999616748705211 loss_test=0.36067666191324016 acc=0.8693
[114/10000] loss=0.2999309908625952 loss_test=0.3606506023284506 acc=0.8693
[115/10000] loss=0.2999004867719232 loss_test=0.3606246825263146 acc=0.8692
[116/10000] loss=0.2998701278581576 loss_test=0.3605989090748185 acc=0.8692
[117/10000] loss=0.2998399121267289 loss_test=0.3605732595730328 acc=0.8693
[118/10000] loss=0.29980982847098125 loss_test=0.3605477489339604 acc=0.8693
[119/10000] loss=0.2997798646895618 loss_test=0.36052238051533547 acc=0.8694
[120/10000] loss=0.2997500894529653 loss_test=0.36049714371837155 acc=0.8695
[121/10000] loss=0.2997204556388109 loss_test=0.36047204239535896 acc=0.8695
[122/10000] loss=0.29969099560979895 loss_test=0.3604470712300359 acc=0.8695
[123/10000] loss=0.29966167816440076 loss_test=0.36042222667506885 acc=0.8695
[124/10000] loss=0.29963248109468904 loss_test=0.3603975045182462 acc=0.8694
[125/10000] loss=0.299603421176689 loss_test=0.360372885504191 acc=0.8694
[126/10000] loss=0.2995745084615124 loss_test=0.36034840247209526 acc=0.8694
[127/10000] loss=0.2995457086910264 loss_test=0.3603240491649192 acc=0.8694
[128/10000] loss=0.29951699572113294 loss_test=0.360299791005963 acc=0.8693
[129/10000] loss=0.2994884356255375 loss_test=0.3602756571628572 acc=0.8693
[130/10000] loss=0.2994599964288458 loss_test=0.3602516583933385 acc=0.8693
[131/10000] loss=0.2994317123285821 loss_test=0.36022776408242896 acc=0.8694
[132/10000] loss=0.29940354680808695 loss_test=0.3602039924544274 acc=0.8694
[133/10000] loss=0.299375491753024 loss_test=0.3601803595496589 acc=0.8693
[134/10000] loss=0.29934757080252755 loss_test=0.36015684341737786 acc=0.8693
[135/10000] loss=0.2993197491489127 loss_test=0.3601334477534976 acc=0.8693
[136/10000] loss=0.29929202224266427 loss_test=0.36011014981727113 acc=0.8693
[137/10000] loss=0.29926440262673604 loss_test=0.3600869441199892 acc=0.8693
[138/10000] loss=0.2992369092793757 loss_test=0.36006385212093633 acc=0.8692
[139/10000] loss=0.2992094677502065 loss_test=0.3600408522972793 acc=0.869
[140/10000] loss=0.29918217496640276 loss_test=0.36001794283455435 acc=0.869
[141/10000] loss=0.2991549552461729 loss_test=0.35999514364797885 acc=0.8689
[142/10000] loss=0.2991278347145275 loss_test=0.3599724425031869 acc=0.8689
[143/10000] loss=0.29910081214894935 loss_test=0.35994983570240635 acc=0.8689
[144/10000] loss=0.29907388006775265 loss_test=0.35992730723709293 acc=0.8689
[145/10000] loss=0.2990470187465308 loss_test=0.359904870597649 acc=0.869
[146/10000] loss=0.2990202491730013 loss_test=0.3598825337501537 acc=0.8691
[147/10000] loss=0.2989935828284115 loss_test=0.3598602540751634 acc=0.8691
[148/10000] loss=0.2989669631599454 loss_test=0.3598380497405564 acc=0.8692
[149/10000] loss=0.2989404390485685 loss_test=0.35981593226500325 acc=0.8692
[150/10000] loss=0.2989140209539043 loss_test=0.35979389170648446 acc=0.8692
[151/10000] loss=0.29888769663786446 loss_test=0.359771970924479 acc=0.8692
[152/10000] loss=0.29886151143913664 loss_test=0.3597501361223683 acc=0.8691
[153/10000] loss=0.29883539566356665 loss_test=0.3597283815091281 acc=0.8689
[154/10000] loss=0.29880939891279984 loss_test=0.3597067210455766 acc=0.8689
[155/10000] loss=0.2987835247319814 loss_test=0.3596851185350018 acc=0.869
[156/10000] loss=0.2987576742533844 loss_test=0.3596635753271017 acc=0.869
[157/10000] loss=0.29873194283703397 loss_test=0.3596420879398138 acc=0.8691
[158/10000] loss=0.298706292155076 loss_test=0.3596206692656274 acc=0.8692
[159/10000] loss=0.2986806987656728 loss_test=0.3595993282509184 acc=0.8692
[160/10000] loss=0.2986551892311618 loss_test=0.35957805904841605 acc=0.8691
